fight_id,fighter_id,fighter_name,fighter_status,kd,n_pass,n_sub,sig_str_abs,sig_str_att,sig_str_def,sig_str_land,total_str_abs,total_str_att,total_str_def,total_str_land,td_abs,td_att,td_def,td_land,head_abs,head_att,head_def,head_land,body_abs,body_att,body_def,body_land,leg_abs,leg_att,leg_def,leg_land,distance_abs,distance_att,distance_def,distance_land,clinch_abs,clinch_att,clinch_def,clinch_land,ground_abs,ground_att,ground_def,ground_land
57b986d06bde71c2,"['d28dee5c705991df', 'eef9b891edbd4604']","['Stipe Miocic', 'Mark Hunt']","['W', 'L']","[0, 0]","[0, 0]","[0, 0]","[33, 113]","[180, 96]","[63, 67]","[113, 33]","[46, 361]","[464, 109]","[63, 103]","[361, 46]","[0, 6]","[8, 0]","[0, 2]","[6, 0]","[29, 105]","[172, 89]","[60, 67]","[105, 29]","[0, 7]","[7, 2]","[2, 0]","[7, 0]","[4, 1]","[1, 5]","[1, 0]","[1, 4]","[30, 48]","[95, 90]","[60, 47]","[48, 30]","[3, 8]","[18, 6]","[3, 10]","[8, 3]","[0, 57]","[67, 0]","[0, 10]","[57, 0]"
71e123d40fff9edb,"['ffdeb4fbea09ce75', '46a2f24feb258ae0']","['Jessica Rakoczy', 'Valerie Letourneau']","['L', 'W']","[0, 0]","[1, 1]","[1, 2]","[38, 46]","[107, 124]","[86, 61]","[46, 38]","[50, 60]","[125, 136]","[86, 65]","[60, 50]","[2, 1]","[5, 2]","[0, 4]","[1, 2]","[17, 26]","[78, 93]","[76, 52]","[26, 17]","[10, 17]","[24, 14]","[4, 7]","[17, 10]","[11, 3]","[5, 17]","[6, 2]","[3, 11]","[27, 29]","[84, 101]","[74, 55]","[29, 27]","[10, 11]","[14, 22]","[12, 3]","[11, 10]","[1, 6]","[9, 1]","[0, 3]","[6, 1]"
059dcd0b3b8e0a3f,"['49858bf46dabf6fb', 'e5ecaf884b6da2bc']","['Nordine Taleb', 'Chris Clements']","['W', 'L']","[0, 0]","[0, 0]","[0, 1]","[17, 36]","[64, 62]","[45, 28]","[36, 17]","[29, 64]","[97, 75]","[46, 33]","[64, 29]","[0, 6]","[6, 0]","[0, 0]","[6, 0]","[4, 26]","[50, 39]","[35, 24]","[26, 4]","[5, 7]","[10, 8]","[3, 3]","[7, 5]","[8, 3]","[4, 15]","[7, 1]","[3, 8]","[14, 12]","[27, 52]","[38, 15]","[12, 14]","[3, 5]","[7, 10]","[7, 2]","[5, 3]","[0, 19]","[30, 0]","[0, 11]","[19, 0]"
0590fb4acc06fa93,"['55ee431411ccf07a', '49f4b511932f71e9']","['Olivier Aubin-Mercier', 'David Michaud']","['W', 'L']","[1, 0]","[0, 0]","[1, 0]","[17, 49]","[86, 52]","[35, 37]","[49, 17]","[22, 82]","[127, 57]","[35, 45]","[82, 22]","[0, 3]","[15, 0]","[0, 12]","[3, 0]","[14, 22]","[55, 47]","[33, 33]","[22, 14]","[3, 12]","[16, 4]","[1, 4]","[12, 3]","[0, 15]","[15, 1]","[1, 0]","[15, 0]","[12, 23]","[55, 43]","[31, 32]","[23, 12]","[4, 22]","[26, 7]","[3, 4]","[22, 4]","[1, 4]","[5, 2]","[1, 1]","[4, 1]"
48f23cc8cc5ad9a9,"['c03a5022f8439f2a', 'a331233f597090a5']","['Chad Laprise', 'Bryan Barberena']","['W', 'L']","[0, 0]","[0, 0]","[0, 0]","[94, 84]","[172, 202]","[108, 88]","[84, 94]","[99, 84]","[172, 207]","[108, 88]","[84, 99]","[1, 0]","[1, 3]","[2, 1]","[0, 1]","[36, 52]","[132, 122]","[86, 80]","[52, 36]","[21, 21]","[29, 34]","[13, 8]","[21, 21]","[37, 11]","[11, 46]","[9, 0]","[11, 37]","[72, 78]","[163, 173]","[101, 85]","[78, 72]","[22, 6]","[9, 27]","[5, 3]","[6, 22]","[0, 0]","[0, 2]","[2, 0]","[0, 0]"
6b532f492e98d22f,"['4c2d90e335e6df19', '36df8e119aec6175']","['Alexis Davis', 'Sarah Kaufman']","['W', 'L']","[0, 0]","[0, 0]","[1, 0]","[65, 34]","[99, 130]","[65, 65]","[34, 65]","[76, 40]","[106, 141]","[65, 66]","[40, 76]","[0, 1]","[3, 0]","[0, 2]","[1, 0]","[37, 18]","[77, 90]","[53, 59]","[18, 37]","[8, 7]","[11, 12]","[4, 4]","[7, 8]","[20, 9]","[11, 28]","[8, 2]","[9, 20]","[47, 29]","[91, 111]","[64, 62]","[29, 47]","[11, 5]","[8, 12]","[1, 3]","[5, 11]","[7, 0]","[0, 7]","[0, 0]","[0, 7]"
78f1457371e2ef6b,"['b4eeac608fc82f88', '2b074403b7c6cdb4']","['Yves Jabouin', 'Thomas Almeida']","['L', 'W']","[0, 0]","[0, 0]","[0, 0]","[31, 20]","[56, 75]","[44, 36]","[20, 31]","[32, 20]","[56, 76]","[44, 36]","[20, 32]","[0, 1]","[1, 0]","[0, 0]","[1, 0]","[18, 12]","[43, 58]","[40, 31]","[12, 18]","[7, 8]","[13, 9]","[2, 5]","[8, 7]","[6, 0]","[0, 8]","[2, 0]","[0, 6]","[24, 18]","[53, 62]","[38, 35]","[18, 24]","[7, 2]","[3, 13]","[6, 1]","[2, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
591699203b264f6c,"['9fa3bd637edd9aa2', 'd512d9f204059f57']","['Patrick Cote', 'Joe Riggs']","['W', 'L']","[0, 0]","[1, 0]","[1, 0]","[21, 21]","[48, 35]","[14, 27]","[21, 21]","[47, 110]","[151, 61]","[14, 41]","[110, 47]","[2, 3]","[6, 2]","[0, 3]","[3, 2]","[15, 11]","[26, 28]","[13, 15]","[11, 15]","[3, 6]","[14, 3]","[0, 8]","[6, 3]","[3, 4]","[8, 4]","[1, 4]","[4, 3]","[9, 8]","[30, 19]","[10, 22]","[8, 9]","[9, 6]","[8, 12]","[3, 2]","[6, 9]","[3, 7]","[10, 4]","[1, 3]","[7, 3]"
0c74e600ded0de97,"['c21a036b4e012f1c', '784285b7ae7dd85f']","['John Makdessi', 'Shane Campbell']","['W', 'L']","[2, 0]","[0, 0]","[0, 0]","[25, 47]","[98, 57]","[32, 51]","[47, 25]","[25, 59]","[114, 57]","[32, 55]","[59, 25]","[0, 0]","[2, 3]","[3, 2]","[0, 0]","[5, 39]","[82, 28]","[23, 43]","[39, 5]","[7, 7]","[13, 14]","[7, 6]","[7, 7]","[13, 1]","[3, 15]","[2, 2]","[1, 13]","[24, 26]","[56, 54]","[30, 30]","[26, 24]","[1, 6]","[13, 3]","[2, 7]","[6, 1]","[0, 15]","[29, 0]","[0, 14]","[15, 0]"
ccbbf1ccd4513551,"['2b93ebd9f5417ad2', '5d7bdab5e03e3216']","['Michael Bisping', 'CB Dollaway']","['W', 'L']","[0, 1]","[0, 0]","[0, 0]","[47, 75]","[202, 131]","[84, 127]","[75, 47]","[49, 80]","[207, 134]","[85, 127]","[80, 49]","[2, 0]","[0, 8]","[6, 0]","[0, 2]","[36, 56]","[176, 115]","[79, 120]","[56, 36]","[4, 4]","[8, 8]","[4, 4]","[4, 4]","[7, 15]","[18, 8]","[1, 3]","[15, 7]","[40, 69]","[193, 114]","[74, 124]","[69, 40]","[1, 1]","[1, 3]","[2, 0]","[1, 1]","[6, 5]","[8, 14]","[8, 3]","[5, 6]"
